Local time,Open,High,Low,Close,Volume
29.04.2023 07:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 07:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 08:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 08:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 09:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 09:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 10:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 10:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 11:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 11:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 12:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 12:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 13:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 13:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 14:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 14:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 15:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 15:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 16:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 16:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 17:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 17:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 18:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 18:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 19:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 19:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 20:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 20:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 21:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 21:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 22:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 22:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 23:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
29.04.2023 23:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 00:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 00:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 01:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 01:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 02:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 02:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 03:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 03:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 04:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 04:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 05:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 05:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 06:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 06:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 07:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 07:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 08:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 08:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 09:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 09:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 10:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 10:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 11:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 11:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 12:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 12:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 13:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 13:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 14:00:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 14:30:00.000 GMT-0600,1.10144,1.10144,1.10144,1.10144,0
30.04.2023 15:00:00.000 GMT-0600,1.10240,1.10270,1.10182,1.10191,266070000.6484
30.04.2023 15:30:00.000 GMT-0600,1.10191,1.10198,1.10182,1.10191,498490000.7247
30.04.2023 16:00:00.000 GMT-0600,1.10191,1.10220,1.10133,1.10142,4146809955.5965
30.04.2023 16:30:00.000 GMT-0600,1.10141,1.10148,1.10106,1.10112,3138529994.9646006
30.04.2023 17:00:00.000 GMT-0600,1.10112,1.10133,1.10104,1.10123,2184230019.5693
30.04.2023 17:30:00.000 GMT-0600,1.10124,1.10134,1.10100,1.10105,2108670008.6594
30.04.2023 18:00:00.000 GMT-0600,1.10106,1.10143,1.10064,1.10068,5174269962.3106985
30.04.2023 18:30:00.000 GMT-0600,1.10068,1.10104,1.10045,1.10055,2952869986.534001
30.04.2023 19:00:00.000 GMT-0600,1.10055,1.10064,1.10024,1.10058,3859180007.9346004
30.04.2023 19:30:00.000 GMT-0600,1.10057,1.10084,1.10020,1.10040,3141410007.4767
30.04.2023 20:00:00.000 GMT-0600,1.10037,1.10042,1.10007,1.10031,1824080004.6921
30.04.2023 20:30:00.000 GMT-0600,1.10030,1.10081,1.10026,1.10081,1903570003.5095003
30.04.2023 21:00:00.000 GMT-0600,1.10081,1.10119,1.10053,1.10112,2384809995.6511
30.04.2023 21:30:00.000 GMT-0600,1.10112,1.10140,1.10083,1.10140,1959390008.9265003
30.04.2023 22:00:00.000 GMT-0600,1.10143,1.10143,1.10098,1.10133,2220179985.0464005
30.04.2023 22:30:00.000 GMT-0600,1.10134,1.10134,1.10032,1.10062,2387280008.3161
30.04.2023 23:00:00.000 GMT-0600,1.10063,1.10063,1.10027,1.10032,2978450003.6238003
30.04.2023 23:30:00.000 GMT-0600,1.10030,1.10087,1.10008,1.10059,3701389999.3897004
01.05.2023 00:00:00.000 GMT-0600,1.10060,1.10064,1.09949,1.09967,5394599998.4743
01.05.2023 00:30:00.000 GMT-0600,1.09967,1.10055,1.09947,1.09977,5616839988.7084
01.05.2023 01:00:00.000 GMT-0600,1.09978,1.10057,1.09971,1.10021,7650349975.586101
01.05.2023 01:30:00.000 GMT-0600,1.10022,1.10046,1.09963,1.10033,5868029983.5206
01.05.2023 02:00:00.000 GMT-0600,1.10033,1.10033,1.09919,1.09943,6082380012.512199
